Artery,11280,55295,81,7704,84904,65065,1464,4919,388630,6093,104,57194,10129,85407,1311,4908,26032,182,4162,9828,11030,11034,7881,4092,221935,10231,4059,79649,10054,26224,4854,387763,79785,285671,57583,4026,83857,7145,114905,55118,3490,114897,80303,5358,25777,463,3678,8848,57154,3351,2300,388,9244,59,3398,339745,83643,6474,51285,80781,2303,25932,2296,7373,63976,25802,389125,6451,1466,6915,55617,147906,5143,5592,4154,4916,4209,26030,55559,126374,8470,9096,344558,79974,4642,83892,5023,253827,347902,25923,3741,9457,10974,5549,176,23493,337876,83604,10290,139324,3717
Artery,11280,55604,8515,1462,4969,4239,8516,8404,339512,83643,2444,388630,80781,1404,54751,7373,6876,101928788,2843,165,57194,4982,8997,84168,2307,343450,6915,4908,25902,26032,119587,7076,1903,644538,5592,94274,6909,4916,5740,84620,6272,4958,4162,60598,57717,633,55559,1503,26508,9096,54829,79974,4642,1284,1286,8510,81578,2331,26577,59352,4240,1842,1953,977,3075,10234,3741,79960,5154,1396,4052,4053,7058,420,7052,2202,64943,503835,3490,22875,114897,9242,91179
Heart,11280,643226,253017,27122,283310,58498,25805,285489,4635,115701,10289,199699,10021,57699,10518,401265,387680,55353,57057,10891,137814,285025,1482,57644,9910,10529,7139,65268,388591,845,2257,7381,254428,130827,94031,5322,2626,647286,84626,144809,4878,27231,4879,4902,1573,57467,4607,57646,100130613,30819,137902,6755,283383,79933,282996,3270,10763,5066,26548,100820829,84675,4624,291,27302,150084,8988,128486,3316,353116,121130,56961,51725,201140,27063,51086,6910,100130827,2170,646643,4706,374569,90139,26577,6262,91807,64091,51422,6508,70,1397,6546,9719,1145,343263,6331,196410,51778,83875,11173,10699,348093
Brain,11280,440279,5149,170961,10716,885,29944,2902,10439,145581,57497,57642,29106,1128,2290,23072,254122,3798,9486,3800,84435,6620,66004,727857,8514,165257,253314,5575,727800,642968,9355,8534,84446,220296,8448,11170,9478,6096,114794,51172,9783,57795,389812,402381,8193,9840,85300,162494,145773,2016,26290,136227,84894,84968,6853,79007,653404,3787,9751,758,3706,128434,23207,53822,23518,11069,147381,53358,747,11122,4985,23349,126567,26038,404037,150726,547,146664,29993,23416,27133,10297,90249,221074,9177,11113,575,576,57172,5995,132112,1463,815,283576,4900,59284,23101,23316,1496,10368,3761
Artery,11280,81,84904,54843,387882,6423,152330,1464,388630,6093,6876,104,10129,1311,4908,23012,26032,10082,182,4162,9828,11034,7881,4092,5228,221935,10231,4059,4854,387763,79785,285671,58189,57583,4026,56911,283349,56937,55118,3490,10085,80303,5358,463,3678,3351,2300,388,55740,9244,59,3398,83643,51285,80781,2303,25932,2296,54751,7373,165,389125,6451,1466,6915,6237,55617,147906,6251,644538,5592,94274,4154,4916,55559,126374,8470,9096,79974,4642,83892,5023,56901,253827,1296,2331,347902,9457,10974,5549,11098,1396,176,347252,23493,219,337876,83604,10290,50964,3717
Heart,11280,643226,9086,6271,253017,27122,283310,8292,58498,25805,285489,4635,115701,10289,199699,10021,57699,23676,2199,10518,57105,55353,57057,285025,1482,57644,9910,10529,286336,7139,65268,388591,845,2257,7381,130827,94031,5322,2626,647286,84626,4878,27231,4879,4902,132430,1573,57467,4607,100130613,137902,6755,282996,3270,10763,5066,26548,100820829,84675,4624,291,27302,150084,8988,3316,353116,121130,56961,51725,100130311,400258,201140,27063,1375,51086,22846,6910,100130827,2170,646643,4706,374569,90139,26577,2022,91807,64091,126328,51422,6508,70,1397,9719,1145,343263,6331,196410,51778,11173,10699,348093
Heart,11280,9086,6271,23281,253017,6389,4633,4634,27089,7867,7384,253512,5318,10289,199699,132228,23676,401036,1339,401265,682,1000,7168,285025,1482,645745,57644,10529,400916,93058,8817,7139,388591,845,1410,9172,5137,7381,254428,1346,647286,51660,2700,27231,1666,255798,57467,4607,5160,6939,137902,27254,4726,282996,3270,26548,100820829,4625,57451,291,1349,27129,4709,8988,128486,4707,400258,8048,56950,26521,4702,1375,4694,51086,2170,4706,7093,22921,6262,91807,9377,64091,434,2274,80206,152926,6508,11155,70,1329,6546,376132,5350,1160,6445,6331,7137,23417,4190,51778,83875
Brain,11280,170961,10716,885,29944,2902,10439,57497,6804,1128,154790,23072,254122,57026,3798,57524,84435,79187,6620,66004,727857,388662,8514,253314,5575,727800,642968,9355,503542,84446,8448,9478,114794,51172,84539,9783,57795,389812,402381,8193,9840,85300,162494,22895,26290,9568,30818,136227,84894,84968,6853,79007,3787,9751,758,3706,128434,23207,5297,53822,23518,11069,147381,53358,747,11122,4985,23031,23349,79575,83988,126567,26038,404037,150726,547,146664,29993,23416,342977,27133,10361,10297,90249,11113,374875,4130,575,576,57172,132112,815,283576,4900,6017,59284,23101,23316,1496,64478,3761
Brain,11280,222183,84530,100271715,90668,7089,339488,146713,1159,4661,2905,440829,85455,116983,326624,130733,64137,392862,113091,6511,1951,401647,346702,25837,402665,8497,7732,283870,126520,124842,9671,84911,9196,85508,8822,6534,30012,161497,3975,2196,1013,30813,343702,5816,400224,23255,773,100288142,8913,140710,2248,10893,64405,23380,440730,117532,112476,869,5080,51764,146325,8718,343472,22983,56751,138307,3746,51305,84465,341880,9379,4761,114088,90525,23263,29906,5015,50614,390598,285888,4185,2020,340260,85416,153090,388228,348487,57679,8786,729665,266727,5310,10645,284339,2914,123591,57732,7547,7546,146429,2563
Artery,11280,8515,4256,22801,83690,9358,116328,11248,93166,4016,348174,10516,2487,84168,23012,26032,221749,83872,4628,3485,84620,6769,4958,151449,152,2669,2131,50507,1012,81578,4240,112609,55022,977,4054,5154,4052,4053,2202,11010,390664,80310,79750,54360,3490,5358,100288695,89796,89797,2300,1462,4969,4627,8516,2621,96626,1404,2303,7166,2296,389336,4881,54751,2006,165,4982,147,8997,145864,2307,6915,389558,119587,5592,5740,5739,60598,2327,11060,633,55559,89822,23641,79783,23213,55107,54829,4642,1295,64094,1296,2331,1953,3693,5549,5311,7058,337876,83604,5099,50964
